Type,Depth,Magnitude,ID,Latitude,Longitude,Dates
Earthquake,20.0,6.3,ISCGEM855169,38.384,22.545,1965-07-06 03:18:45
Earthquake,45.0,5.6,ISCGEM855170,46.591,152.467,1965-07-06 04:08:49
Earthquake,490.0,6.3,ISCGEM855189,-4.408,155.062,1965-07-06 18:36:46
Earthquake,35.0,5.7,ISCGEM855208,-6.819,105.505,1965-07-07 23:00:00
Earthquake,112.4,5.7,ISCGEM855319,-28.428,-68.25,1965-07-12 13:57:15
Earthquake,570.0,6.0,ISCGEM855394,7.74,123.811,1965-07-15 18:33:30
Earthquake,25.0,5.9,ISCGEM855425,-9.72,159.888,1965-07-17 07:20:34
Earthquake,24.6,5.7,ISCGEM855504,7.56,124.247,1965-07-20 13:18:28
Earthquake,28.8,5.5,ISCGEM855526,53.318,170.365,1965-07-21 17:52:33
Earthquake,105.0,5.5,ISCGEM855580,1.813,99.276,1965-07-25 03:40:43
Earthquake,15.0,5.6,ISCGEM855589,41.278,146.682,1965-07-25 13:33:04
Earthquake,20.1,5.7,ISCGEM855597,51.472,175.894,1965-07-25 21:46:45
Earthquake,140.0,5.6,ISCGEM855664,-2.335,101.767,1965-07-28 22:29:09
Earthquake,21.4,6.8,ISCGEM855674,51.05,-171.289,1965-07-29 08:29:24
Earthquake,15.0,5.7,ISCGEM855684,50.799,-171.607,1965-07-29 12:20:21
Earthquake,20.0,5.6,ISCGEM855692,51.076,-171.466,1965-07-29 15:08:37
Earthquake,160.0,5.6,ISCGEM855709,6.789,-72.907,1965-07-30 07:20:10
Earthquake,45.0,5.9,ISCGEM854282,-32.441,-178.803,1965-08-01 23:44:29
Earthquake,10.0,7.3,ISCGEM854292,-56.046,157.922,1965-08-02 13:19:57
Earthquake,26.3,5.7,ISCGEM854310,-7.526,-81.179,1965-08-03 02:01:53
Earthquake,60.0,6.5,ISCGEM854347,-5.213,151.701,1965-08-05 00:07:52
Earthquake,25.0,7.2,ISCGEM854451,-15.449,166.98,1965-08-11 03:40:58
Earthquake,30.0,5.8,ISCGEM854453,-15.67,167.216,1965-08-11 07:18:47
